전체 카테고리 성장률 순위:
====================================
Rank 87: {'대카테고리': '주방용품', '중카테고리': '일회용품/종이컵', '소카테고리': '일회용수저', '세부카테고리': '일회용숟가락/티스푼', 'total': 42, 'recent_sum': 34, 'older_sum': 8, 'growth_rate': 4.25, 'final_score': 220.5, 'rank': 87}
Rank 88: {'대카테고리': '생활용품', '중카테고리': '생리대/성인기저귀', '소카테고리': '오버나이트', '세부카테고리': '일반 오버나이트', 'total': 31, 'recent_sum': 25, 'older_sum': 6, 'growth_rate': 4.166666666666667, 'final_score': 160.16666666666669, 'rank': 88}
Rank 89: {'대카테고리': '뷰티', '중카테고리': '바디', '소카테고리': '핸드/풋/데오', '세부카테고리': '데오드란트', 'total': 15, 'recent_sum': 12, 'older_sum': 3, 'growth_rate': 4.0, 'final_score': 75.0, 'rank': 89}
Rank 90: {'대카테고리': '식품', '중카테고리': '채소', '소카테고리': '배추/무/김장채소', '세부카테고리': '부추', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 90}
Rank 91: {'대카테고리': '식품', '중카테고리': '축산/계란', '소카테고리': '축산선물세트', '세부카테고리': '기타축산선물세트', 'total': 10, 'recent_sum': 8, 'older_sum': 2, 'growth_rate': 4.0, 'final_score': 50.0, 'rank': 91}
Rank 92: {'대카테고리': '식품', '중카테고리': '생수/음료', '소카테고리': '탄산/스포츠음료', '세부카테고리': '환타/써니텐', 'total': 15, 'recent_sum': 12, 'older_sum': 3, 'growth_rate': 4.0, 'final_score': 75.0, 'rank': 92}
Rank 93: {'대카테고리': '식품', '중카테고리': '장/소스/드레싱/식초', '소카테고리': '식초/미림', '세부카테고리': '와인식초', 'total': 5, 'recent_sum': 4, 'older_sum': 1, 'growth_rate': 4.0, 'final_score': 25.0, 'rank': 93}
Rank 94: {'대카테고리': '식품', '중카테고리': '유제품/아이스크림', '소카테고리': '치즈', '세부카테고리': '치즈스낵', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 94}
Rank 95: {'대카테고리': '식품', '중카테고리': '냉장/냉동/간편요리', '소카테고리': '떡류', '세부카테고리': '찹쌀떡', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 95}
Rank 96: {'대카테고리': '식품', '중카테고리': '사과식초/땅콩버터 외', '소카테고리': '커피/원두/차', '세부카테고리': '둥글레/옥수수차', 'total': 5, 'recent_sum': 4, 'older_sum': 1, 'growth_rate': 4.0, 'final_score': 25.0, 'rank': 96}
Rank 97: {'대카테고리': '주방용품', '중카테고리': '주방잡화', '소카테고리': '냅킨/주방수건', '세부카테고리': '면보/국물백/보자기', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 97}
Rank 98: {'대카테고리': '생활용품', '중카테고리': '바디/세안', '소카테고리': '핸드/풋/데오', '세부카테고리': '데오드란트', 'total': 15, 'recent_sum': 12, 'older_sum': 3, 'growth_rate': 4.0, 'final_score': 75.0, 'rank': 98}
Rank 99: {'대카테고리': '생활용품', '중카테고리': '욕실용품', '소카테고리': '목욕/샤워용품', '세부카테고리': '헤어타월/헤어터번', 'total': 50, 'recent_sum': 40, 'older_sum': 10, 'growth_rate': 4.0, 'final_score': 250.0, 'rank': 99}
Rank 100: {'대카테고리': '생활용품', '중카테고리': '안전/호신용품', '소카테고리': '안전표지/경고등', '세부카테고리': '안전삼각대', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 100}
Rank 101: {'대카테고리': '홈인테리어', '중카테고리': '커튼/블라인드', '소카테고리': '커튼부자재', '세부카테고리': '커튼레일고리', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 101}
Rank 102: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '조화/비누꽃', '세부카테고리': '초콜릿/사탕 꽃다발', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 102}
Rank 103: {'대카테고리': '홈인테리어', '중카테고리': '안전/호신용품', '소카테고리': '안전표지/경고등', '세부카테고리': '안전삼각대', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 103}
Rank 104: {'대카테고리': '스포츠/레저', '중카테고리': '자전거', '소카테고리': '자전거 악세서리', '세부카테고리': '자전거커버', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 104}
Rank 105: {'대카테고리': '문구/오피스', '중카테고리': '파티/이벤트', '소카테고리': '파티모자/머리띠', '세부카테고리': '화관', 'total': 5, 'recent_sum': 4, 'older_sum': 1, 'growth_rate': 4.0, 'final_score': 25.0, 'rank': 105}
Rank 106: {'대카테고리': '문구/오피스', '중카테고리': '보드/칠판/광고', '소카테고리': '보드/게시판소품', '세부카테고리': '보드크리너', 'total': 4, 'recent_sum': 4, 'older_sum': 0, 'growth_rate': 4, 'final_score': 20, 'rank': 106}
Rank 107: {'대카테고리': '반려동물용품', '중카테고리': '관상어 용품', '소카테고리': '사료', '세부카테고리': '거북이 사료', 'total': 10, 'recent_sum': 8, 'older_sum': 2, 'growth_rate': 4.0, 'final_score': 50.0, 'rank': 107}
